Region,H1_circadian_rhythm_disorder,H2_metabolic_obesity_index,H3_visual_function_impairment,H4_psychological_emotional,S1_population_density,S2_social_development_level,S3_traffic_accident_rate,S4_crime_rate,N1_vegetation_coverage,N2_biodiversity_index,N3_climate_humidity_transparency,N4_geographic_sunlight_elevation,E1_lighting_energy_per_area,E2_lighting_system_efficiency
Region_1,0.6271503530179057,0.8146076071425323,0.3845258265689322,0.3321900854828064,0.39043092330343393,0.8079223810178159,0.8932433232440736,0.797925725326048,0.8552610154549564,0.3062546523509315,0.9135716259135067,0.8897697577855102,0.7018202123034175,0.3851716163776932
Region_2,0.020220196998870968,0.6510316575585947,0.8538130995558366,0.711709123758082,0.27087471384187595,0.859234167903865,0.22028257220730155,0.6090112864029579,0.9499780702453366,0.5154628109172408,0.1667173054062711,0.33059265114758246,0.975503874984782,0.8068271536298961
Region_3,0.2506157750651001,0.352525413840866,0.9670729820113904,0.4863017663104612,0.8388474659883524,0.012731433895359806,0.16639105221830125,0.2042252730500799,0.33233487637365844,0.7125205665762264,0.060986709612310556,0.18467872563006357,0.0,0.9983839501670885
Region_4,0.39106863088480337,0.4781626185603194,0.017982939592235524,0.4574793001000465,0.3579007547439897,0.3580474784311072,0.39255264719982536,0.821959544062875,0.11015434559070678,0.34949658273352335,0.44581250587735594,0.026286495373640476,0.05694418700093478,0.9871652387474903
Region_5,0.8573364284179128,0.6686472697231821,0.0,0.8489467646915715,0.28064221082489804,0.06351050844717504,0.15484861390548393,1.0,0.23610368492709224,1.0,1.0,0.6241482450708202,0.8017788918486002,0.867174454441237
Region_6,0.8573618360466397,0.23462443796884647,0.16884379105877007,0.0,0.547374386541561,0.970728843400333,0.46904961952613144,0.7504783441496921,0.4489045978624563,0.9900151499074914,0.16950208352857196,0.718341753899981,0.31831708116308244,0.7128990872124602
Region_7,0.9604991928618823,0.874048693592391,0.7098232153160488,0.21036432149120712,0.1379732645432837,0.6795808797729934,0.43624644541917235,0.9012083679918856,0.8665591886405505,0.22986037721396865,0.6498451268996683,0.0,0.1292359313672844,0.08850479649697329
Region_8,0.10927097388425654,0.6674079619195995,0.9320439905583702,0.032547679274844345,0.8118029583076753,0.3245774891374582,0.5441556414594173,0.0,0.9121978143098007,0.4924205305201593,0.7497870492068388,0.5385094293194278,0.4443204329016923,0.17523047133033418
Region_9,0.3884809747921717,0.5669414288589912,0.30217553512972933,0.0808748675372563,0.07033931233948439,0.0,1.0,0.14257622037950207,0.0,0.2823753728901013,0.16456806353219758,0.22812556085212043,0.47504495714210904,1.0
Region_10,0.2758140527863736,0.44550506986952837,0.5642772621624462,0.40210060907210665,1.0,0.3003978048871162,0.9065096091796168,0.347470072522106,0.538267103525128,0.2652207051283357,0.7124799981918964,0.68313896367074,0.8211265515848263,0.6730525498061274
Region_11,1.0,0.0,0.9058788462910793,0.0516146632216832,0.7812819829650424,0.3176392600945567,0.9931870123944281,0.06829582551334594,0.4385443147115375,0.0,0.30992355104061015,0.17147198223142748,1.0,0.00462842976958726
Region_12,0.0,0.7925841745779613,0.505190228894534,0.9531942774479186,0.19686212566041006,0.8086496402938954,0.3073818263224565,0.14779283831006013,0.22987759921878495,0.6125578847951817,0.60536057724102,0.7328757866226653,0.033042523627596375,0.10790235813339419
Region_13,0.14480516107834618,0.3667688540975717,1.0,0.8369076901628674,0.0,0.6968931707789392,0.6724619132447265,0.8714813312853382,0.12063926828923574,0.4982292219241933,0.6067274902506136,0.4022720983131173,0.029191712608952303,0.7369285227570742
Region_14,0.798009591976472,0.2609377635269707,0.060469286789764994,1.0,0.8253192852001195,1.0,0.45230060945710965,0.043553279122716504,0.35328849327844297,0.01560795788047115,0.4975479959676135,1.0,0.35064378214305564,0.0
Region_15,0.8301525693217339,1.0,0.7590410482295036,0.6969753686382948,0.7146529127647341,0.49615054408875386,0.0,0.45777798556902216,1.0,0.2585953308948625,0.0,0.13142872971200006,0.7042692050988533,0.1743119828360636
