Region,N1_vegetation_coverage,N2_biodiversity_index,N3_climate_humidity_transparency,N4_geographic_sunlight_elevation
Region_1,0.7152081086148437,0.4262420524145286,0.8995462372816595,0.7762405722212199
Region_2,0.7772639099464452,0.5631534352203562,0.5317590398668348,0.45209144093219356
Region_3,0.37260243248030467,0.6921132712266245,0.47969217965017275,0.36750666155190814
Region_4,0.2270363471693737,0.4545407216655058,0.6691990181526597,0.27568833917950125
Region_5,0.30955461377935917,0.8802474579046724,0.9421077497608303,0.6222625542085923
Region_6,0.4489754520383794,0.8737131064594779,0.5331303993313252,0.6768655479606379
Region_7,0.7226103361457452,0.3762476070777549,0.7696745510732332,0.2604503322245494
Region_8,0.7525114082794404,0.5480739541246697,0.8188907884307947,0.572618626728547
Region_9,0.15486649137183348,0.41061481687173873,0.5307006491958198,0.3926923383747009
Region_10,0.507523111804296,0.39938834606422735,0.8005189917365227,0.6564588579579533
Region_11,0.44218770220414527,0.22582086314817296,0.6022807229955893,0.3598508502731446
Region_12,0.30547546732951114,0.6266950337859278,0.7477682068264687,0.6852907750045536
Region_13,0.23390575713357795,0.551875316260203,0.748441340918492,0.49364326816933857
Region_14,0.38633061998253954,0.23603512587499256,0.6946760762411172,0.8401398929041427
Region_15,0.8100367927387634,0.39505252496562804,0.4496593735299246,0.33663819481197577
