Region,S1_population_density,S2_social_development_level,S3_traffic_accident_rate,S4_crime_rate
Region_1,2004.518719478462,0.7738546592266417,3.9949280742287714,312.03994894676873
Region_2,1429.61025569209,0.8013257253458645,11.415559840287438,416.7488999731593
Region_3,4160.813794844454,0.3481290236271587,12.009813107711217,641.1082400529816
Region_4,1848.0913007985876,0.5330027235537771,9.515964969618704,298.7188075695546
Region_5,1476.5790974681656,0.3753148886913343,12.137089749432013,200.03694138871543
Region_6,2759.2108074754174,0.8610172268191356,8.672444954554884,338.3384443939492
Region_7,790.5287023763369,0.7051437824379125,9.034160367274925,254.79383671510288
Region_8,4030.7652056947945,0.5150837161542219,7.84426272948187,754.3034740226725
Region_9,465.298154030877,0.34131292768591537,2.81773908430119,675.278246716871
Region_10,4935.745989342535,0.5021385091151804,3.8486428374163055,561.7124417317752
Region_11,3883.9993695536214,0.5113691593173856,2.8928648210841783,716.4493836220165
Region_12,1073.7068395174447,0.7742440159197416,10.455130140797255,672.3868499844244
Region_13,127.05837390565176,0.7144123563808884,6.429449763454084,271.2705382759233
Region_14,4095.7609994286872,0.8766882826746121,8.857133639558786,730.1633490184855
Region_15,3563.600984853324,0.606939701355267,13.844580924076162,500.572457245173
