Region,H1_circadian_rhythm_disorder,H2_metabolic_obesity_index,H3_visual_function_impairment,H4_psychological_emotional
Region_1,0.41217808319315374,0.3283831568974037,0.494904153735935,0.6040142619865484
Region_2,0.8155000144869413,0.4129695700716764,0.2108406803967395,0.379495088697223
Region_3,0.6623957592679836,0.5673295021425665,0.1422835354404317,0.5128435335537989
Region_4,0.5690609389379256,0.502361513049481,0.7167755992146666,0.5298945787796989
Region_5,0.25921304830970554,0.40386039813862934,0.7276608214984636,0.2983068515363373
Region_6,0.25919616423534186,0.6282970263056656,0.6254582762756997,0.8005341617693174
Region_7,0.19065852851773962,0.2976457024564293,0.29799894996269094,0.6760850069511133
Region_8,0.7563233020424546,0.4045012539746527,0.16348687410414953,0.781279322601081
Region_9,0.5707805082202462,0.4564532903055842,0.544751467232902,0.7526895042736952
Region_10,0.6456508044572318,0.5192489889519252,0.38609912093074084,0.5626559864390944
Region_11,0.16440914600706172,0.7496231729751095,0.17932485264910625,0.7699995104147948
Region_12,0.828936896513396,0.3397716475108518,0.4218649915723256,0.23663520131322846
Region_13,0.7327098485602952,0.5599641068895281,0.12235253872489196,0.3054290319482529
Region_14,0.2986373774747933,0.6146901982034297,0.6910582613512083,0.20894546490274435
Region_15,0.2772774770449704,0.23251528890399842,0.268206988040011,0.38821141168848916
