Region,E1_lighting_energy_per_area,E2_lighting_system_efficiency
Region_1,135.26658776256463,0.5815889787985837
Region_2,78.36838031014727,0.7774969530125245
Region_3,281.1734045696407,0.8664973351753401
Region_4,269.33483834524526,0.8612849406178611
Region_5,114.4854069287889,0.8055352838459644
Region_6,214.99601150854477,0.7338564560002296
Region_7,254.30555005030396,0.4437527817974254
Region_8,188.80020289986558,0.4840469313291992
Region_9,182.41264458900162,0.8672481780340813
Region_10,110.46307272511292,0.7153431110229869
Region_11,73.2756919514748,0.40478246684064745
Region_12,274.3039394883317,0.45276520229033673
Region_13,275.10451429083264,0.745020919936189
Region_14,208.27536431831697,0.40263202360003375
Region_15,134.75744776217516,0.48362018673709933
