Profile_Type,Cell_Number,time_s,profile_time_s,capacity_Ah
SPM,1,0.0,0,17.181936
SPM,1,2307388.836,2613600,17.24068125
SPM,1,5007217.415,5227200,17.146169
SPM,1,7670418.702,7840800,17.1164135
SPM,1,10331118.702,10454400,17.13530225
SPM,1,12986463.589,13068000,17.13602725
SPM,1,15639574.58,15681600,17.115454
SPM,1,18794104.682,18295200,17.09197075
SPM,1,21447760.961,20908800,17.078273
SPM,1,24104896.289,23522400,17.012404
SPM,1,26758313.398,26136000,16.9769105
SPM,1,29412238.366,28749600,16.933497
SPM,1,32480219.398,31363200,16.89880525
