Profile_Type,Cell_Number,time_s,profile_time_s,capacity_Ah
BMP,1,0.0,0,17.22558
BMP,1,2307838.658,2613600,17.2363965
BMP,1,5008268.304,5227200,17.137673
BMP,1,7673769.945,7840800,17.122631
BMP,1,10332069.945,10454400,17.0689525
BMP,1,12991474.584,13068000,17.0606355
BMP,1,15645554.496,15681600,17.0231775
BMP,1,18300204.528,18295200,17.00302775
BMP,1,20960094.187,20908800,16.97789125
BMP,1,23618421.508,23522400,16.96187225
BMP,1,26270380.616,26136000,16.856701
BMP,1,28926498.584,28749600,16.8273295
BMP,1,31965957.896,31363200,16.79938875
