scenario,scenario_name,initial_soc,tte_hours,ci_lower,ci_upper,ci_width,ci_width_pct,expected_tte,mape,classification
S1_Idle,Idle,1.0,27.434181162566052,25.63672998892715,29.24952409740213,3.6127941084749793,13.168951852678724,80.0,65.70727354679245,poorly
S1_Idle,Idle,0.8,20.854228298483577,19.83551975268299,22.52270788568721,2.68718813300422,12.885579339320937,64.0,67.41526828361941,poorly
S1_Idle,Idle,0.5,12.62118589189229,11.537965526147245,13.18706651678286,1.649100990635615,13.0661334423018,40.0,68.44703527026927,poorly
S1_Idle,Idle,0.2,4.018224857293174,3.731039485013346,4.260771094481973,0.5297316094686275,13.183224639784704,16.0,74.88609464191767,poorly
S2_Browsing,Web Browsing,1.0,19.853190599483344,18.82670900425806,21.377482999655562,2.5507739953975026,12.848181669418333,15.0,32.35460399655563,poorly
S2_Browsing,Web Browsing,0.8,15.801763051064958,14.542584506440404,16.61139568456808,2.0688111781276763,13.092280724891955,12.0,31.68135875887465,poorly
S2_Browsing,Web Browsing,0.5,8.86961770310849,8.44296723289485,9.73362534929814,1.290658116403291,14.551451478579066,7.5,18.26156937477987,marginal
S2_Browsing,Web Browsing,0.2,2.952590936523974,2.745635060408459,3.1479173727200247,0.4022823123115655,13.624722183329748,3.0,1.5803021158675268,excellent
S3_Gaming,Heavy Gaming,1.0,12.926156377103435,12.01244293450823,13.750965407620122,1.7385224731118907,13.449647539398471,5.0,158.5231275420687,poorly
S3_Gaming,Heavy Gaming,0.8,10.136945544949137,9.279430576905614,10.623976828573252,1.3445462516676372,13.263820405324903,4.0,153.42363862372844,poorly
S3_Gaming,Heavy Gaming,0.5,5.763970051829438,5.423353673762824,6.2214124929116466,0.7980588191488227,13.84564478948889,2.5,130.5588020731775,poorly
S3_Gaming,Heavy Gaming,0.2,1.9116762595805181,1.7608829347314372,2.0299746217493038,0.26909168701786657,14.076216392252197,1.0,91.16762595805181,poorly
S4_Navigation,GPS Navigation,1.0,16.911105031121494,15.891063901320424,18.16016259802275,2.2690986967023274,13.41780263635349,10.0,69.11105031121494,poorly
S4_Navigation,GPS Navigation,0.8,13.100241744635069,12.2404923264442,14.075872956228512,1.8353806297843125,14.010280615897447,8.0,63.75302180793836,poorly
S4_Navigation,GPS Navigation,0.5,7.811563285767488,7.108797193596478,8.166177886854669,1.0573806932581906,13.536095843769417,5.0,56.231265715349764,poorly
S4_Navigation,GPS Navigation,0.2,2.510623891863005,2.3094680607008544,2.671057781241945,0.36158972054109073,14.402385069026549,2.0,25.531194593150254,poorly
S5_Video,Video Streaming,1.0,17.08937306125572,15.738764484929805,17.946901836566855,2.208137351637051,12.921113862528072,18.0,5.05903854857933,excellent
S5_Video,Video Streaming,0.8,13.24039863056766,12.156475134534817,13.833767194886574,1.677292060351757,12.667987627498237,14.4,8.05278728772459,excellent
S5_Video,Video Streaming,0.5,7.5735330277138875,7.084642749194817,8.184875663955225,1.100232914760408,14.527340288004517,9.0,15.84963302540125,marginal
S5_Video,Video Streaming,0.2,2.5251317709574086,2.2934925588036394,2.6543199461070435,0.360827387303404,14.289447840046607,3.6,29.85745080673865,poorly
