Scenario,SOC_initial,TTE_median,TTE_mean,TTE_std,CI_95_lower,CI_95_upper,CI_95_width,Relative_uncertainty_pct
idle,1.0,30.0,30.0,0.0,30.0,30.0,0.0,0.0
idle,0.8,30.0,30.0,0.0,30.0,30.0,0.0,0.0
idle,0.6,23.587776432110125,23.63426327900398,0.4765037176031716,22.783140048456033,24.544181713622184,1.7610416651661502,7.465907904607905
idle,0.4,11.80550906595483,11.714720945483641,0.2816655140828705,11.258957932324623,12.099608571336404,0.8406506390117805,7.120833454239431
idle,0.2,4.611193974470675,4.590357224104674,0.21309634878301104,4.244970176348923,4.980539133105691,0.7355689567567678,15.951811197472013
browsing,1.0,30.0,30.0,0.0,30.0,30.0,0.0,0.0
browsing,0.8,14.50415157708651,14.488172852036438,0.15931707155274905,14.136984537496657,14.736476759613023,0.5994922221163659,4.133245705067208
browsing,0.6,4.870570500300504,4.883994890857719,0.11495804272336868,4.653398549762925,5.066266375080095,0.4128678253171696,8.476785733656797
browsing,0.4,2.050357134426589,2.0775176684725998,0.08757585963604174,1.9442395403379276,2.256116503744837,0.3118769634069094,15.210860496950945
browsing,0.2,0.8105285702795868,0.8096404435350448,0.059800511769969686,0.7015714214383241,0.9175293583268592,0.21595793688853515,26.644086933794547
video,1.0,30.0,30.0,0.0,30.0,30.0,0.0,0.0
video,0.8,12.633793344330595,12.643340856813044,0.06967465300652735,12.495763949939887,12.753303710210075,0.25753976027018766,2.0384990734849913
video,0.6,4.074936001434653,4.089417051302318,0.05666806098777337,3.993551816405151,4.211736181860583,0.21818436545543163,5.354301647402952
video,0.4,1.7092952069837404,1.720956241662141,0.042766914339173734,1.6609740287323982,1.7916501948132182,0.13067616608082,7.64503203115008
video,0.2,0.6698898917423567,0.6662774338285545,0.027264453915199008,0.6263358130071122,0.7078993898301971,0.0815635768230849,12.175669140333095
gaming,1.0,14.021470771293782,14.02283270471841,0.205948036038646,13.675861542418604,14.48550806096756,0.8096465185489556,5.77433374683167
gaming,0.8,3.437110597489947,3.406643083627524,0.11235774108331663,3.1702474288945663,3.565773346244453,0.39552591734988685,11.507512084095621
gaming,0.6,0.9353019043458396,0.9388369272843065,0.07250547474699752,0.8376374297873267,1.0936926038450212,0.2560551740576945,27.376740373129284
gaming,0.4,0.5,0.5039878086623115,0.012659015854627814,0.5,0.5441509709661081,0.044150970966108094,8.830194193221619
gaming,0.2,0.5,0.5,0.0,0.5,0.5,0.0,0.0
navigation,1.0,29.004942184171767,29.01511271887364,0.22070995109511365,28.625348074057918,29.35244543686085,0.7270973628029331,2.5068050754457842
navigation,0.8,10.363653750232707,10.34341495546929,0.16620723114885666,10.06996112767995,10.673889930777245,0.6039288030972951,5.827373411464412
navigation,0.6,3.1673660973510547,3.19200767709655,0.1013498954174186,3.0028423557413397,3.372767953811023,0.3699255980696834,11.679281355542107
navigation,0.4,1.3433375673329646,1.339222469149133,0.0741392248613446,1.2214874005846406,1.4746844317384493,0.25319703115380876,18.848354822421967
navigation,0.2,0.5314027768153581,0.5345059912946947,0.030504874767298674,0.5,0.5963371835287343,0.09633718352873433,18.128844584906595
