Scenario,Component,Power_W,Fraction_pct
idle,display,0.0,0.0
idle,cpu,0.05,33.33333333333333
idle,gpu,0.0,0.0
idle,network,0.02,13.33333333333333
idle,gps,0.0,0.0
idle,bg,0.08,53.33333333333332
browsing,display,0.36,40.44943820224719
browsing,cpu,0.23,25.842696629213485
browsing,gpu,0.05,5.617977528089888
browsing,network,0.15,16.853932584269664
browsing,gps,0.0,0.0
browsing,bg,0.1,11.235955056179776
video,display,0.64,39.02439024390244
video,cpu,0.5,30.48780487804878
video,gpu,0.15,9.146341463414632
video,network,0.25,15.24390243902439
video,gps,0.0,0.0
video,bg,0.1,6.097560975609756
gaming,display,1.0,38.46153846153846
gaming,cpu,0.7,26.923076923076923
gaming,gpu,0.65,25.0
gaming,network,0.15,5.769230769230769
gaming,gps,0.0,0.0
gaming,bg,0.1,3.8461538461538463
navigation,display,0.49,29.878048780487802
navigation,cpu,0.3,18.292682926829265
navigation,gpu,0.1,6.097560975609756
navigation,network,0.35,21.34146341463414
navigation,gps,0.3,18.292682926829265
navigation,bg,0.1,6.097560975609756
