battery_id,Capacity_initial,Capacity_final,SOH_final,Re_mean,Rct_mean
B0005,1.825780747577624,1.5849430707374117,0.8680905814349579,0.054244654752636096,0.0773395586424507
B0006,1.9242461121680097,1.4876323024497422,0.7730987699768075,0.07005150778748173,0.09302025322411923
B0007,1.8710089649779995,1.6362554312048496,0.8745310481310761,0.05280664574008873,0.07687380779539509
B0018,1.7536304801917124,1.379695166560862,0.786765046653403,0.06297577669058979,0.08908996548974189
B0025,1.847011162956716,1.7677890780323615,0.957107955537456,0.04877618101289751,0.07704753011395142
B0026,1.81325043038699,1.768754111010884,0.9754604666678008,0.09011822662975602,0.11489131031631399
B0027,1.8233077742149364,1.7700926253324452,0.9708139516350145,0.09917739546682222,0.1244204958002229
B0028,1.8046847720100736,1.7172335652295243,0.9515421152010135,0.08002976377094775,0.10814724100636457
B0029,1.7392875506998715,1.6456360229757092,0.9461552359835624,0.02809331158376513,0.04085890861840075
B0030,1.6718407140871654,1.584613105427081,0.9478254070946518,0.06418747924132631,0.0752476709881988
B0031,1.751740527921767,1.687010991299212,0.9630484449090476,0.04044504312844137,0.05159025803969056
B0032,1.769995333364443,1.6686372014231974,0.9427353676980708,0.0722172208439957,0.08042184406857016
B0033,0.6895699007862814,1.6422892507912386,2.3816138855808813,0.08969974920667281,0.11534837296097494
B0034,1.6623217152845853,1.484026357317059,0.8927431697918939,0.12525329961035375,0.1472626020680913
B0036,1.8011007566288924,1.7755577789223569,0.9858181294896883,0.10313447702261172,0.12733516252948973
B0038,1.7859452772697195,1.0269978594353013,0.5750444162574421,0.14448389277087528,0.1644239040989154
B0039,1.7701196454489685,0.4668172561120673,0.26372073622947956,0.10413193846644093,0.12187586027635196
B0040,1.7333691208377455,0.7405021514606399,0.42720395936368805,0.12255892659977519,0.13857178092773842
B0041,0.0467089878078547,0.8657093203148538,18.534105767311747,0.05469200582051147,0.19753915594982285
B0042,0.0871279249656989,1.356887600783644,15.573509885812527,0.07685225973723876,0.16183737056790065
B0043,0.0591220864554366,1.300326009481109,21.99391272263763,0.07048841071531746,0.16951146237799702
B0044,0.0593176644466495,1.268607265737458,21.386669174718563,0.0829424923038627,0.18824372512126303
B0045,0.927952404748273,0.6843279752855028,0.7374602100106001,0.07276124985651394,0.23717972715308946
B0046,1.5161488467923143,1.229251291851949,0.8107721708542346,0.08176338566653504,0.21606491108914444
B0047,1.5243662105099025,1.1902559038393383,0.7808201832558307,0.06575817059976499,0.2131595638440691
B0048,1.5076933476098775,1.2487131179395878,0.8282275171666394,0.08028774389835816,0.22933874950558075
B0049,1.372852133389263,0.7820744360746734,0.5696712829107878,0.0579545076107617,0.14228440610252518
B0050,1.601636485397804,0.5736933387569048,0.3581919767608282,-80743704371226.58,171320280566457.72
B0051,1.2288940261191657,0.7839218784699513,0.637908445975255,0.07833935716157414,0.17219211079750069
B0052,1.3707123028693164,1.3515647352626494,0.9860309362025967,-20509.852366837447,17460.296784759597
B0053,1.024036665663697,1.0352223140423542,1.0109230936290816,0.10138355657768619,0.1610181146455966
B0054,0.9800846133894624,0.9337172811638196,0.952690480401188,0.10036691695412366,0.1738652244516833
B0055,1.095373856745309,1.0291668536316647,0.9395576197971662,0.0974274746965715,0.1616980951977902
B0056,1.2013113747183153,1.1267457988726266,0.9379298511485643,0.10244741553198318,0.1837009874138775
