Country,Country_Code,Year,Electricity_Access_Pct,GDP_Current_USD,GDP_Growth_Pct,GDP_per_capita_USD,Imports_Pct_GDP,Manufacturing_Pct_GDP,Merchandise_Exports_USD,Merchandise_Imports_USD,Population
Argentina,ARG,2000,95.7,284203750000.0,-0.78899893905691,7637.01489203628,11.6360695451767,16.4942719439838,26341000000.0,25154000000.0,37213984.0
Argentina,ARG,2001,95.5,268696750000.0,-4.40883968258557,7141.47507662826,10.2732473690136,16.0932258763829,26543000000.0,20320000000.0,37624825.0
Argentina,ARG,2002,96.1,97724004251.8602,-10.8944848285903,2569.69963519124,13.370127359396,20.347773913878,25650000000.0,8990000000.0,38029349.0
Argentina,ARG,2003,96.3,127586973492.177,8.83704079576924,3320.47775133903,14.7138051046861,22.4867505875749,29566000000.0,13834000000.0,38424282.0
Argentina,ARG,2004,96.5,164657930452.787,9.02957330068152,4242.02099089422,16.8450266849578,18.9370136214371,34576000000.0,22445000000.0,38815916.0
Argentina,ARG,2005,96.7,198737095012.282,8.85165992013437,5067.65342293276,17.3053942367662,18.340415936715,40351000000.0,28689000000.0,39216789.0
Argentina,ARG,2006,97.0,232557260817.308,8.04715150043027,5869.38028970204,17.4067852681036,17.8777938558849,46546000000.0,34152000000.0,39622115.0
Argentina,ARG,2007,97.2,287530508430.568,9.00765087504757,7185.25155147027,18.2824203070644,17.0474154518997,55779000000.0,44706000000.0,40016763.0
Argentina,ARG,2008,97.5,361558037110.419,4.05723310346406,8944.1102657357,18.341772996414,16.5383660984547,70018000000.0,57462000000.0,40424148.0
Argentina,ARG,2009,97.8,332976484577.619,-5.91852507634947,8150.23527028221,14.4961418494061,15.5837772738051,55672000000.0,38786000000.0,40854831.0
Argentina,ARG,2010,98.8,423627422092.49,10.1253981561002,10260.1313108254,16.0371898581987,15.8448608064195,68187000000.0,56793000000.0,41288694.0
Argentina,ARG,2011,99.0,530158122010.442,6.00395169280579,12704.2831819684,16.7569458546489,15.8506983942663,84051000000.0,74319000000.0,41730660.0
Argentina,ARG,2012,99.1,545982375701.128,-1.0264204544321,12949.717486654,14.2886829096862,15.2168009115954,79982000000.0,67974000000.0,42161721.0
Argentina,ARG,2013,99.3,552025140252.246,2.40532378079436,12963.675773326,14.7167556136651,15.0110542553443,75963000000.0,74442000000.0,42582455.0
Argentina,ARG,2014,100.0,526319673731.638,-2.51261532081394,12233.1444119186,14.0013150558519,14.7727785491821,68405000000.0,65735000000.0,43024071.0
Argentina,ARG,2015,99.7,594749285413.212,2.73115982828944,13679.6264980954,11.7805740385254,14.1815854549835,56784000000.0,60205000000.0,43477012.0
Argentina,ARG,2016,99.9,557532320662.955,-2.08032784377811,12699.9623137756,13.5667926798789,13.4880259708051,57910000000.0,55852000000.0,43900313.0
Argentina,ARG,2017,100.0,643628393281.364,2.81850297775918,14532.5009308511,13.9693177780045,12.8351683415363,58644000000.0,66937000000.0,44288894.0
